date, Water Level
2016-01-01,1.4342792
2016-01-02,1.3119125
2016-01-03,1.3252208
2016-01-04,0.99999166
2016-01-05,1.161
2016-01-06,1.4682833
2016-01-07,1.6499083
2016-01-08,1.5796875
2016-01-09,1.3473958
2016-01-10,0.8735625
2016-01-11,0.86786664
2016-01-12,1.2020042
2016-01-13,1.072
2016-01-14,1.3474083
2016-01-15,1.3818917
2016-01-16,1.14225
2016-01-17,1.2010375
2016-01-18,1.0049167
2016-01-19,0.9501167
2016-01-20,0.8900375
2016-01-21,0.7918208
2016-01-22,0.13733333
2016-01-23,-0.25185415
2016-01-24,0.36757916
2016-01-25,0.6884083
2016-01-26,0.7729
2016-01-27,0.92443335
2016-01-28,0.88105834
2016-01-29,0.65879166
2016-01-30,0.6567417
2016-01-31,0.7693958
2016-02-01,0.89110833
2016-02-02,1.1035917
2016-02-03,1.2198209
2016-02-04,0.98485
2016-02-05,0.81081665
2016-02-06,1.0006666
2016-02-07,0.65694165
2016-02-08,0.6219417
2016-02-09,0.05305
2016-02-10,-0.11667917
2016-02-11,-0.09843333
2016-02-12,0.00445
2016-02-13,0.07658333
2016-02-14,0.5321875
2016-02-15,0.7952375
2016-02-16,0.624025
2016-02-17,0.55022085
2016-02-18,0.67709166
2016-02-19,0.85285413
2016-02-20,0.796425
2016-02-21,0.77963334
2016-02-22,0.95294166
2016-02-23,1.2455666
2016-02-24,0.33780417
2016-02-25,-0.4106375
2016-02-26,0.10961667
2016-02-27,0.48817918
2016-02-28,0.5066625
2016-02-29,0.54880416
2016-03-01,0.56371665
2016-03-02,0.59520835
2016-03-03,0.9805667
2016-03-04,0.67382085
2016-03-05,0.7523417
2016-03-06,0.70737916
2016-03-07,0.9292667
2016-03-08,1.2681416
2016-03-09,1.6824459
2016-03-10,1.7993625
2016-03-11,1.5451626
2016-03-12,1.2691041
2016-03-13,1.2739167
2016-03-14,1.0888292
2016-03-15,0.6547625
2016-03-16,0.7467125
2016-03-17,0.8904875
2016-03-18,0.95428336
2016-03-19,0.8908333
2016-03-20,1.0362958
2016-03-21,0.85639167
2016-03-22,0.73827916
2016-03-23,0.6924083
2016-03-24,0.80385417
2016-03-25,0.79197085
2016-03-26,1.1699125
2016-03-27,1.149075
2016-03-28,1.027425
2016-03-29,1.1288375
2016-03-30,1.3357583
2016-03-31,1.4588708
2016-04-01,1.4545916
2016-04-02,1.3666583
2016-04-03,0.9146042
2016-04-04,0.99745834
2016-04-05,0.740525
2016-04-06,0.6853625
2016-04-07,0.5595958
2016-04-08,0.636675
2016-04-09,0.772125
2016-04-10,1.0859625
2016-04-11,1.1843542
2016-04-12,1.0563709
2016-04-13,1.1747
2016-04-14,1.3016624
2016-04-15,1.422225
2016-04-16,1.6820917
2016-04-17,2.2450209
2016-04-18,2.4414375
2016-04-19,2.4087334
2016-04-20,2.0646958
2016-04-21,1.8525542
2016-04-22,1.7587875
2016-04-23,1.432325
2016-04-24,1.5596292
2016-04-25,1.6681376
2016-04-26,1.682575
2016-04-27,1.8806125
2016-04-28,1.8745124
2016-04-29,1.9848875
2016-04-30,2.1220958
2016-05-01,1.9789292
2016-05-02,2.3068707
2016-05-03,2.2770584
2016-05-04,1.9848334
2016-05-05,1.5980792
2016-05-06,1.3831625
2016-05-07,1.4326458
2016-05-08,1.3763875
2016-05-09,1.4192584
2016-05-10,1.3959292
2016-05-11,1.3682667
2016-05-12,1.4558375
2016-05-13,1.3160666
2016-05-14,1.2041374
2016-05-15,1.2545667
2016-05-16,1.8120916
2016-05-17,1.8971499
2016-05-18,1.6511208
2016-05-19,1.6436583
2016-05-20,1.797825
2016-05-21,1.5412542
2016-05-22,1.4569
2016-05-23,1.6830916
2016-05-24,1.7119
2016-05-25,1.64475
2016-05-26,1.4733
2016-05-27,1.1525556
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,
2016-06-01,1.4817125
2016-06-02,1.4631916
2016-06-03,1.4864374
2016-06-04,1.479825
2016-06-05,1.474925
2016-06-06,1.5442709
2016-06-07,1.47965
2016-06-08,1.5695584
2016-06-09,1.7452708
2016-06-10,1.8370416
2016-06-11,1.4280791
2016-06-12,1.3353791
2016-06-13,1.2129959
2016-06-14,1.2182459
2016-06-15,1.1553875
2016-06-16,1.026225
2016-06-17,0.9482458
2016-06-18,0.91101664
2016-06-19,0.8981875
2016-06-20,0.9003458
2016-06-21,0.9473375
2016-06-22,1.100275
2016-06-23,1.0600042
2016-06-24,0.98525834
2016-06-25,0.98573333
2016-06-26,0.94846666
2016-06-27,0.965025
2016-06-28,0.96951663
2016-06-29,1.0048916
2016-06-30,0.98496664
2016-07-01,0.9724875
2016-07-02,0.8382792
2016-07-03,0.78764164
2016-07-04,0.6142833
