01',0.08405004
 '12',0.08229518
 '13',0.083776462
 '14',0.078787828
 '15',0.083196385
 '012',0.080909708
 '013',0.08233056
 '014',0.078168651
 '015',0.081785148
 '123',0.080612296
 '124',0.077609592
 '125',0.07998828
 '134',0.077617494
 '135',0.077347427
 '145',0.077254205
 '0123',0.079618068
 '0124',0.077066459
 '0125',0.079062985
 '0134',0.07738667
 '0135',0.076782347
 '0145',0.076995619
 '1234',0.076487639
 '1235',0.07646704
 '1245',0.076122077
 '1345',0.076301925
 '01234',0.076380709
 '01235',0.075890704
 '01245',0.075985592
 '01345',0.075708317
 '12345',0.075860654
 '012345',0.07535867
