ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
100,Point,9498,9497,MCD6,27.85,-82.533,-15.724,1
101,Point,9497,9496,MCD5,27.85,-82.532,-15.631,1
102,Point,4560,4559,FLIB,27.88,-82.843,-17.562,1
103,Point,4536,4535,FLCW,27.933,-82.801,-8.457,1
104,Point,1846,1845,BRTW,27.95,-81.783,12.034,1
105,Point,4538,4537,FLD7,27.97,-82.364,-14.371,1
106,Point,17005,17004,TXSI,28.016,-97.469,-7.636,1
107,Point,16989,16988,TXS2,28.017,-97.47,-9.486,1
108,Point,16983,16982,TXRP,28.062,-97.049,-17.754,1
109,Point,16985,16984,TXRT,28.063,-97.049,-20.064,1
110,Point,14944,14943,SG05,28.065,-80.623,-10.759,1
111,Point,16915,16914,TXM8,28.091,-97.825,25.784,1
112,Point,4534,4533,FLCC,28.094,-81.274,-1.225,1
113,Point,4596,4595,FLST,28.112,-81.83,31.02,1
114,Point,13441,13440,POLK,28.167,-81.773,14.932,1
115,Point,18647,18646,ZEFR,28.228,-82.165,-1.491,1
116,Point,4598,4597,FLVR,28.247,-80.737,-10.367,1
117,Point,4543,4542,FLE1,28.29,-82.725,-17.786,1
118,Point,6022,6021,HULK,28.295,-81.436,0.014,1
119,Point,4566,4565,FLKS,28.296,-81.436,0.338,1
120,Point,16977,16976,TXRF,28.299,-97.273,-4.279,1
121,Point,16840,16839,TXGW,28.333,-98.059,18.485,1
122,Point,4540,4539,FLDC,28.366,-82.188,11.142,1
123,Point,16729,16728,TXBE,28.424,-97.735,48.063,1
124,Point,11950,11949,ORL1,28.435,-81.382,7.816,1
125,Point,4600,4599,FLWE,28.441,-81.093,-5.071,1
126,Point,2331,2330,CCV5,28.46,-80.545,-24.168,1
127,Point,2332,2331,CCV6,28.46,-80.545,-24.235,1
128,Point,2329,2328,CCV1,28.46,-80.543,-24.096,1
129,Point,2330,2329,CCV2,28.46,-80.543,-24.478,1
130,Point,17023,17022,TXTI,28.468,-98.564,57.944,1
131,Point,1525,1524,BKVL,28.474,-82.454,-6.55,1
132,Point,16622,16621,TTVL,28.506,-80.803,-18.037,1
133,Point,2866,2865,COKO,28.512,-80.794,-2.819,1
134,Point,4584,4583,FLO4,28.597,-81.394,5.886,1
135,Point,16968,16967,TXPV,28.638,-96.619,-16.573,1
136,Point,16834,16833,TXGO,28.668,-97.401,31.159,1
137,Point,15293,15292,SNF1,28.779,-81.253,-7.535,1
138,Point,4559,4558,FLHS,28.801,-82.577,-20.98,1
139,Point,4599,4598,FLWD,28.823,-82.183,-10.011,1
140,Point,8748,8747,LEES,28.826,-81.807,-2.559,1
141,Point,17032,17031,TXVC,28.834,-96.958,18.717,1
142,Point,17031,17030,TXVA,28.835,-96.91,9.864,1
143,Point,4548,4547,FLEU,28.846,-81.685,9.267,1
144,Point,4602,4601,FLWW,28.864,-81.99,0.697,1
145,Point,16872,16871,TXKC,28.874,-97.904,109.989,1
146,Point,16952,16951,TXP4,28.958,-98.488,88.299,1
147,Point,16801,16800,TXED,28.968,-96.634,-7.074,1
148,Point,16962,16961,TXPN,28.979,-98.49,91.852,1
149,Point,16960,16959,TXPL,28.982,-98.479,94.505,1
150,Point,16920,16919,TXMG,28.983,-95.964,5.942,1
151,Point,16727,16726,TXBC,29,-95.972,-7.409,1
152,Point,4026,4025,DWI1,29.014,-95.404,-20.048,1
153,Point,6574,6573,INGS,29.025,-82.616,-15.668,1
154,Point,3822,3821,DLND,29.056,-81.263,-1.264,1
155,Point,3997,3996,DUNN,29.062,-82.371,-7.846,1
156,Point,16820,16819,TXFV,29.134,-98.16,105.545,1
157,Point,16774,16773,TXCU,29.134,-97.276,52.749,1
158,Point,4535,4534,FLCK,29.134,-83.031,-18.798,1
159,Point,16813,16812,TXFI,29.137,-98.163,112.521,1
160,Point,16814,16813,TXFL,29.161,-98.142,118.75,1
161,Point,16705,16704,TXAG,29.164,-95.419,-15.906,1
162,Point,11601,11600,OCLA,29.182,-82.104,16.204,1
163,Point,16693,16692,TXA1,29.218,-98.549,167.738,1
164,Point,8508,8507,LACC,29.255,-90.662,-15.216,1
165,Point,2837,2836,COCD,29.255,-90.661,-16.168,1
166,Point,8951,8950,LMCN,29.255,-90.661,-16.066,1
167,Point,5455,5454,GRIS,29.266,-89.957,-17.005,1
168,Point,8700,8699,LCNX,29.274,-97.751,94.853,1
169,Point,16839,16838,TXGV,29.285,-94.789,-17.391,1
170,Point,17050,17049,TXYK,29.289,-97.151,81.792,1
171,Point,3800,3799,DISD,29.289,-95.74,14.498,1
172,Point,16836,16835,TXGS,29.289,-94.862,-18.105,1
173,Point,11953,11952,ORMD,29.298,-81.109,-19.863,1
174,Point,640,639,ANG5,29.301,-95.485,-9.253,1
175,Point,641,640,ANG6,29.302,-95.485,-9.193,1
176,Point,10797,10796,N301,29.311,-94.792,-18.828,1
177,Point,15962,15961,TDAM,29.314,-94.817,-2.857,1
178,Point,17042,17041,TXWH,29.325,-96.112,7.318,1
179,Point,16825,16824,TXGA,29.328,-94.773,-10.59,1
180,Point,17045,17044,TXWN,29.329,-96.092,8.139,1
181,Point,5048,5047,GAL2,29.33,-94.737,-17.323,1
182,Point,5050,5049,GAL7,29.33,-94.737,-17.441,1
183,Point,1964,1963,BVHS,29.337,-89.406,-15.678,1
184,Point,8501,8500,LABR,29.337,-89.406,-15.13,1
185,Point,16904,16903,TXLQ,29.358,-94.953,-17.321,1
186,Point,17112,17111,UHC0,29.39,-95.044,-21.006,1
187,Point,17113,17112,UHC1,29.39,-95.044,-20.941,1
188,Point,17114,17113,UHC2,29.39,-95.044,-20.911,1
189,Point,17115,17114,UHC3,29.39,-95.044,-20.775,1
190,Point,16900,16899,TXLM,29.392,-95.024,-17.402,1
191,Point,2973,2972,COTM,29.394,-94.998,-18.541,1
192,Point,9157,9156,LSS1,29.397,-95.006,-16.945,1
193,Point,552,551,ALVN,29.401,-95.278,-12.494,1
194,Point,16717,16716,TXAV,29.403,-95.242,-9.337,1
195,Point,8529,8528,LAGM,29.404,-90.274,-19.18,1
196,Point,4528,4527,FLBR,29.439,-82.645,-5.746,1
197,Point,17016,17015,TXSW,29.448,-97.949,162.527,1
198,Point,582,581,AME4,29.45,-91.338,-15.773,1
199,Point,16846,16845,TXHA,29.451,-96.922,62.541,1
200,Point,14345,14344,RPFB,29.484,-95.514,-0.114,1
201,Point,16892,16891,TXLC,29.491,-95.085,-15.486,1
202,Point,3734,3733,DEN3,29.494,-95.255,-15.38,1
